owner,id,name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Treshank,1Hd2XLitkt1PYCWSbfF5q,Wish Wish (feat. Cardi B & 21 Savage),DJ Khaled,0.861,0.6659999999999999,8.0,-5.18,0.0,0.34299999999999997,0.00218,0.0,0.272,0.853,145.041,202625.0,4.0
Treshank,0mjAU3yKR1QnXnHtjGJqT,Rescue Me,OneRepublic,0.759,0.605,7.0,-7.737,1.0,0.0433,0.156,0.0,0.6940000000000001,0.64,121.04899999999999,158900.0,4.0
Treshank,7MXVkk9YMctZqd1Srtv4M,Starboy,The Weeknd,0.679,0.5870000000000001,7.0,-7.015,1.0,0.276,0.141,6.35e-06,0.13699999999999998,0.486,186.003,230453.0,4.0
Treshank,4F7A0DXBrmUAkp32uenhZ,Party Monster,The Weeknd,0.573,0.63,1.0,-8.389,1.0,0.105,0.18899999999999997,2.3100000000000002e-05,0.259,0.218,77.525,249213.0,4.0
Treshank,4MPTj8lMMvxLwT3EwuXFo,Call Out My Name,The Weeknd,0.449,0.599,1.0,-4.8919999999999995,1.0,0.0369,0.21100000000000002,0.0,0.327,0.165,134.144,228373.0,3.0
Treshank,3dhjNA0jGA8vHBQ1VdD6v,I Feel It Coming,The Weeknd,0.773,0.8190000000000001,0.0,-5.946000000000001,0.0,0.11800000000000001,0.428,0.0,0.0679,0.585,92.98700000000001,269187.0,4.0
Treshank,37F0uwRSrdzkBiuj0D5UH,Reminder,The Weeknd,0.706,0.505,8.0,-6.922999999999999,1.0,0.193,0.142,0.0,0.16399999999999998,0.38799999999999996,160.053,218880.0,4.0
Treshank,3vlhj2IVW433vB9GD38dZ,Pray For Em,Meek Mill,0.539,0.5770000000000001,1.0,-6.24,1.0,0.29,0.0183,0.0,0.19399999999999998,0.152,104.89399999999999,214252.0,3.0
Treshank,5DhPPiULuuXllyVd3T8Za,Gave Em Hope,Meek Mill,0.732,0.7090000000000001,10.0,-4.145,0.0,0.147,0.0723,0.0,0.0859,0.529,136.047,210651.0,4.0
Treshank,6dVa7xk5dOoT6pOkDw1TM,Brother,Kodaline,0.493,0.636,10.0,-5.894,1.0,0.049,0.341,0.0,0.201,0.228,120.13600000000001,201980.0,4.0
Treshank,1VqmEOKrIBxNbnvMaTfss,Hell Froze Over,Kodaline,0.37,0.868,11.0,-3.3080000000000003,1.0,0.154,0.0109,0.0,0.158,0.29100000000000004,152.95,225573.0,4.0
Treshank,5yVIlYEHZxQVLyInCdldo,Impossible,James Arthur,0.376,0.696,0.0,-4.785,0.0,0.0949,0.141,0.0,0.11,0.303,169.515,209440.0,4.0
Treshank,0OlnLZY4cmQzT6ZGttvWB,So Far Away (feat. Jamie Scott & Romy Dya),Martin Garrix,0.526,0.52,6.0,-7.985,0.0,0.0569,0.435,0.0,0.19699999999999998,0.13,149.119,183637.0,4.0
Treshank,2IRZnDFmlqMuOrYOLnZZy,Going Bad (feat. Drake),Meek Mill,0.889,0.496,4.0,-6.365,0.0,0.0905,0.259,0.0,0.252,0.544,86.00299999999999,180522.0,4.0
Treshank,2jTidefcsTu6VQhpIImJr,All I Want,Kodaline,0.209,0.41200000000000003,0.0,-9.732999999999999,1.0,0.0443,0.172,0.15,0.0843,0.162,86.26,305747.0,3.0
Treshank,2tOOhpCbtjyeSPSBrWQ8g,Sail Away Sweet Sister - Remastered 2011,Queen,0.531,0.506,9.0,-7.001,1.0,0.0265,0.8240000000000001,0.0,0.0835,0.19899999999999998,80.355,213387.0,4.0
Treshank,05sCp83gcMm1iecYydKJS,Let's Hurt Tonight,OneRepublic,0.359,0.713,5.0,-4.526,1.0,0.0366,0.33,0.0,0.324,0.272,61.519,194520.0,4.0
Treshank,1ny5puGJQ4r7sMvazXCls,Kids,OneRepublic,0.598,0.737,2.0,-6.169,1.0,0.0406,0.0159,0.0,0.284,0.2,99.991,238387.0,4.0
Treshank,5AoZWVVSbmg2SkaCiqCWW,Wherever I Go,OneRepublic,0.54,0.675,10.0,-6.449,0.0,0.0429,0.1,0.0,0.237,0.348,99.97,169773.0,4.0
Treshank,1NhPKVLsHhFUHIOZ32QnS,Secrets,OneRepublic,0.516,0.764,2.0,-6.223,1.0,0.0366,0.0717,0.0,0.115,0.376,148.02100000000002,224693.0,4.0
Treshank,3T4UodGkfZObJ43RtA5KF,Connection,OneRepublic,0.611,0.602,5.0,-4.89,1.0,0.0437,0.000837,0.0,0.11199999999999999,0.624,168.15400000000002,148460.0,4.0
Treshank,7JAGL0wjf2lHoPUJ2oZF7,Revolution - Remix,Sean&Bobo,0.669,0.392,0.0,-5.581,0.0,0.0361,0.0668,0.25,0.159,0.0595,148.064,235154.0,4.0
Treshank,2CPqh63wRVscbceKcPxwv,The Ocean (feat. Shy Martin),Mike Perry,0.632,0.575,5.0,-6.478,1.0,0.028999999999999998,0.0225,1.81e-06,0.10400000000000001,0.188,90.037,183414.0,4.0
Treshank,3u1S1OmAUhx5DRlLrXqyp,Rise,Jonas Blue,0.69,0.784,1.0,-4.6530000000000005,1.0,0.032,0.32299999999999995,0.0,0.203,0.669,106.066,194408.0,4.0
Treshank,5up5uXChMJLKyuop9HwtC,Shotgun (The Wild Remix),George Ezra,0.588,0.757,5.0,-2.415,1.0,0.0716,0.327,0.0,0.32299999999999995,0.836,122.81299999999999,191650.0,4.0
